date,batting_team,bowling_team,player_of_match,match_won_by,win_outcome,toss_winner,toss_decision,venue,city,day,month,year,season,superover_winner,result_type,method,event_match_no,stage,target_score,chased_score,tie_match,venue_home_team,is_home_win
2022-05-25,RCB,LSG,RM Patidar,RCB,14 runs,LSG,field,eden gardens,kolkata,25,5,2022,2022,no super over,no super over,no super over,Unknown,Eliminator,208,193.0,0,KKR,0
2022-05-27,RCB,RR,JC Buttler,RR,7 wickets,RR,field,narendra modi stadium,ahmedabad,27,5,2022,2022,no super over,no super over,no super over,Unknown,Qualifier 2,158,161.0,0,GT,0
2022-05-29,RR,GT,HH Pandya,GT,7 wickets,RR,bat,narendra modi stadium,ahmedabad,29,5,2022,2022,no super over,no super over,no super over,Unknown,Final,131,133.0,0,GT,1
2023-03-31,CSK,GT,Rashid Khan,GT,5 wickets,GT,field,narendra modi stadium,ahmedabad,31,3,2023,2023,no super over,no super over,no super over,1,simple matches,179,182.0,0,GT,1
2023-04-01,KXP,KKR,Arshdeep Singh,KXP,7 runs,KKR,field,punjab cricket association stadium,chandigarh,1,4,2023,2023,no super over,no super over,D/L,2,simple matches,192,146.0,0,KXP,1
2023-04-01,LSG,DC,MA Wood,LSG,50 runs,DC,field,bharat ratna shri atal bihari vajpayee ekana cricket stadium,lucknow,1,4,2023,2023,no super over,no super over,no super over,3,simple matches,194,143.0,0,no super over,0
2023-04-02,RR,SRH,JC Buttler,RR,72 runs,SRH,field,rajiv gandhi international stadium,hyderabad,2,4,2023,2023,no super over,no super over,no super over,4,simple matches,204,131.0,0,SRH,0
2023-04-02,MI,RCB,F du Plessis,RCB,8 wickets,RCB,field,m chinnaswamy stadium,bengaluru,2,4,2023,2023,no super over,no super over,no super over,5,simple matches,172,172.0,0,RCB,1
2023-04-03,CSK,LSG,MM Ali,CSK,12 runs,LSG,field,ma chidambaram stadium,chennai,3,4,2023,2023,no super over,no super over,no super over,6,simple matches,218,205.0,0,CSK,1
2023-04-04,DC,GT,B Sai Sudharsan,GT,6 wickets,GT,field,arun jaitley stadium,delhi,4,4,2023,2023,no super over,no super over,no super over,7,simple matches,163,163.0,0,DC,0
2023-04-05,KXP,RR,NT Ellis,KXP,5 runs,RR,field,barsapara cricket stadium,guwahati,5,4,2023,2023,no super over,no super over,no super over,8,simple matches,198,192.0,0,no super over,0
2023-04-06,KKR,RCB,SN Thakur,KKR,81 runs,RCB,field,eden gardens,kolkata,6,4,2023,2023,no super over,no super over,no super over,9,simple matches,205,123.0,0,KKR,1
2023-04-07,SRH,LSG,KH Pandya,LSG,5 wickets,SRH,bat,bharat ratna shri atal bihari vajpayee ekana cricket stadium,lucknow,7,4,2023,2023,no super over,no super over,no super over,10,simple matches,122,127.0,0,no super over,0
2023-04-08,RR,DC,YBK Jaiswal,RR,57 runs,DC,field,barsapara cricket stadium,guwahati,8,4,2023,2023,no super over,no super over,no super over,11,simple matches,200,142.0,0,no super over,0
2023-04-08,MI,CSK,RA Jadeja,CSK,7 wickets,CSK,field,wankhede stadium,mumbai,8,4,2023,2023,no super over,no super over,no super over,12,simple matches,158,159.0,0,MI,0
2023-04-09,GT,KKR,RK Singh,KKR,3 wickets,GT,bat,narendra modi stadium,ahmedabad,9,4,2023,2023,no super over,no super over,no super over,13,simple matches,205,207.0,0,GT,0
2023-04-09,KXP,SRH,S Dhawan,SRH,8 wickets,SRH,field,rajiv gandhi international stadium,hyderabad,9,4,2023,2023,no super over,no super over,no super over,14,simple matches,144,145.0,0,SRH,1
2023-04-10,RCB,LSG,N Pooran,LSG,1 wickets,LSG,field,m chinnaswamy stadium,bengaluru,10,4,2023,2023,no super over,no super over,no super over,15,simple matches,213,213.0,0,RCB,0
2023-04-11,DC,MI,RG Sharma,MI,6 wickets,MI,field,arun jaitley stadium,delhi,11,4,2023,2023,no super over,no super over,no super over,16,simple matches,173,173.0,0,DC,0
2023-04-12,RR,CSK,R Ashwin,RR,3 runs,CSK,field,ma chidambaram stadium,chennai,12,4,2023,2023,no super over,no super over,no super over,17,simple matches,176,172.0,0,CSK,0
2023-04-13,KXP,GT,MM Sharma,GT,6 wickets,GT,field,punjab cricket association stadium,chandigarh,13,4,2023,2023,no super over,no super over,no super over,18,simple matches,154,154.0,0,KXP,0
2023-04-14,SRH,KKR,HC Brook,SRH,23 runs,KKR,field,eden gardens,kolkata,14,4,2023,2023,no super over,no super over,no super over,19,simple matches,229,205.0,0,KKR,0
2023-04-15,RCB,DC,V Kohli,RCB,23 runs,DC,field,m chinnaswamy stadium,bengaluru,15,4,2023,2023,no super over,no super over,no super over,20,simple matches,175,151.0,0,RCB,1
2023-04-15,LSG,KXP,Sikandar Raza,KXP,2 wickets,KXP,field,bharat ratna shri atal bihari vajpayee ekana cricket stadium,lucknow,15,4,2023,2023,no super over,no super over,no super over,21,simple matches,160,161.0,0,no super over,0
2023-04-16,KKR,MI,VR Iyer,MI,5 wickets,MI,field,wankhede stadium,mumbai,16,4,2023,2023,no super over,no super over,no super over,22,simple matches,186,186.0,0,MI,1
2023-04-16,GT,RR,SO Hetmyer,RR,3 wickets,RR,field,narendra modi stadium,ahmedabad,16,4,2023,2023,no super over,no super over,no super over,23,simple matches,178,179.0,0,GT,0
2023-04-17,CSK,RCB,DP Conway,CSK,8 runs,RCB,field,m chinnaswamy stadium,bengaluru,17,4,2023,2023,no super over,no super over,no super over,24,simple matches,227,218.0,0,RCB,0
2023-04-18,MI,SRH,C Green,MI,14 runs,SRH,field,rajiv gandhi international stadium,hyderabad,18,4,2023,2023,no super over,no super over,no super over,25,simple matches,193,178.0,0,SRH,0
2023-04-19,LSG,RR,MP Stoinis,LSG,10 runs,RR,field,sawai mansingh stadium,jaipur,19,4,2023,2023,no super over,no super over,no super over,26,simple matches,155,144.0,0,RR,0
2023-04-20,RCB,KXP,Mohammed Siraj,RCB,24 runs,KXP,field,punjab cricket association stadium,chandigarh,20,4,2023,2023,no super over,no super over,no super over,27,simple matches,175,150.0,0,KXP,0
2023-04-20,KKR,DC,I Sharma,DC,4 wickets,DC,field,arun jaitley stadium,delhi,20,4,2023,2023,no super over,no super over,no super over,28,simple matches,128,128.0,0,DC,1
2023-04-21,SRH,CSK,RA Jadeja,CSK,7 wickets,CSK,field,ma chidambaram stadium,chennai,21,4,2023,2023,no super over,no super over,no super over,29,simple matches,135,138.0,0,CSK,1
2023-04-22,GT,LSG,MM Sharma,GT,7 runs,GT,bat,bharat ratna shri atal bihari vajpayee ekana cricket stadium,lucknow,22,4,2023,2023,no super over,no super over,no super over,30,simple matches,136,128.0,0,no super over,0
2023-04-22,KXP,MI,SM Curran,KXP,13 runs,MI,field,wankhede stadium,mumbai,22,4,2023,2023,no super over,no super over,no super over,31,simple matches,215,201.0,0,MI,0
2023-04-23,RCB,RR,GJ Maxwell,RCB,7 runs,RR,field,m chinnaswamy stadium,bengaluru,23,4,2023,2023,no super over,no super over,no super over,32,simple matches,190,182.0,0,RCB,1
2023-04-23,CSK,KKR,AM Rahane,CSK,49 runs,KKR,field,eden gardens,kolkata,23,4,2023,2023,no super over,no super over,no super over,33,simple matches,236,186.0,0,KKR,0
2023-04-24,DC,SRH,AR Patel,DC,7 runs,DC,bat,rajiv gandhi international stadium,hyderabad,24,4,2023,2023,no super over,no super over,no super over,34,simple matches,145,137.0,0,SRH,0
2023-04-25,GT,MI,A Manohar,GT,55 runs,MI,field,narendra modi stadium,ahmedabad,25,4,2023,2023,no super over,no super over,no super over,35,simple matches,208,152.0,0,GT,1
